Station:Vancouver Robson Square -  , Date Time                 , NO2     
 ,                           , ppb     
 , 1/1/2018 1:00 AM          , 22.7    
 , 1/1/2018 2:00 AM          , 22.7    
 , 1/1/2018 3:00 AM          , 22.1    
 , 1/1/2018 4:00 AM          , 21.5    
 , 1/1/2018 5:00 AM          , 22.1    
 , 1/1/2018 6:00 AM          , 21.5    
 , 1/1/2018 7:00 AM          , 23.2    
 , 1/1/2018 8:00 AM          , 22.9    
 , 1/1/2018 9:00 AM          , 21.2    
 , 1/1/2018 10:00 AM         , 19.4    
 , 1/1/2018 11:00 AM         , 21.9    
 , 1/1/2018 12:00 PM         , 24.4    
 , 1/1/2018 1:00 PM          , 22.7    
 , 1/1/2018 2:00 PM          , 18.9    
 , 1/1/2018 3:00 PM          , 22.2    
 , 1/1/2018 4:00 PM          , 23.1    
 , 1/1/2018 5:00 PM          , 27.4    
 , 1/1/2018 6:00 PM          , 27.2    
 , 1/1/2018 7:00 PM          , 24.4    
 , 1/1/2018 8:00 PM          , 22.2    
 , 1/1/2018 9:00 PM          , 22.0    
 , 1/1/2018 10:00 PM         , 21.5    
 , 1/1/2018 11:00 PM         , 22.5    
 , 1/1/2018 24:00 AM         , 23.0    
 , Minimum                   , 18.9    
 , Min Date                  , 1/1/2018 2:00:00 PM
 , Maximum                   , 27.4    
 , Max Date                  , 1/1/2018 5:00:00 PM
 , Avg                       , 22.6    
 , Num                       , 24      
 , Data[%]                   , 100     
 , STD                       , 1.9     
