Report Type : StationReport;;
Date;Time;NO2
;;ppb
1/1/18;1:00 a. m.;22.7
1/1/18;2:00 a. m.;22.7
1/1/18;3:00 a. m.;22.1
1/1/18;4:00 a. m.;21.5
1/1/18;5:00 a. m.;22.1
1/1/18;6:00 a. m.;21.5
1/1/18;7:00 a. m.;23.2
1/1/18;8:00 a. m.;22.9
1/1/18;9:00 a. m.;21.2
1/1/18;10:00 a. m.;19.4
1/1/18;11:00 a. m.;21.9
1/1/18;12:00 p. m.;24.4
1/1/18;1:00 p. m.;22.7
1/1/18;2:00 p. m.;18.9
1/1/18;3:00 p. m.;22.2
1/1/18;4:00 p. m.;23.1
1/1/18;5:00 p. m.;27.4
1/1/18;6:00 p. m.;27.2
1/1/18;7:00 p. m.;24.4
1/1/18;8:00 p. m.;22.2
1/1/18;9:00 p. m.;22
1/1/18;10:00 p. m.;21.5
1/1/18;11:00 p. m.;22.5
1/1/18;24:00 AM;23
1/2/18;1:00 a. m.;19.3
1/2/18;2:00 a. m.;18
1/2/18;3:00 a. m.;18.9
1/2/18;4:00 a. m.;19.8
1/2/18;5:00 a. m.;20.5
1/2/18;6:00 a. m.;21.6
1/2/18;7:00 a. m.;22.4
1/2/18;8:00 a. m.;21.3
1/2/18;9:00 a. m.;23.6
1/2/18;10:00 a. m.;26.8
1/2/18;11:00 a. m.;29
1/2/18;12:00 p. m.;32.3
1/2/18;1:00 p. m.;34.1
1/2/18;2:00 p. m.;33.2
1/2/18;3:00 p. m.;33.3
1/2/18;4:00 p. m.;32.3
1/2/18;5:00 p. m.;29.7
1/2/18;6:00 p. m.;29.2
1/2/18;7:00 p. m.;33.9
1/2/18;8:00 p. m.;33.1
1/2/18;9:00 p. m.;30.1
1/2/18;10:00 p. m.;26
1/2/18;11:00 p. m.;23.5
1/2/18;24:00 AM;22.2
1/3/18;1:00 a. m.;20.5
1/3/18;2:00 a. m.;26.6
1/3/18;3:00 a. m.;21.9
1/3/18;4:00 a. m.;25.2
1/3/18;5:00 a. m.;21.7
1/3/18;6:00 a. m.;21.4
1/3/18;7:00 a. m.;18.1
1/3/18;8:00 a. m.;19.2
1/3/18;9:00 a. m.;25.2
1/3/18;10:00 a. m.;28.8
1/3/18;11:00 a. m.;27.2
1/3/18;12:00 p. m.;22.3
1/3/18;1:00 p. m.;20.2
1/3/18;2:00 p. m.;21.1
1/3/18;3:00 p. m.;22.4
1/3/18;4:00 p. m.;20.7
1/3/18;5:00 p. m.;22
1/3/18;6:00 p. m.;20.3
1/3/18;7:00 p. m.;17.4
1/3/18;8:00 p. m.;21.3
1/3/18;9:00 p. m.;22.5
1/3/18;10:00 p. m.;20.2
1/3/18;11:00 p. m.;19.1
1/3/18;24:00 AM;19.5
1/4/18;1:00 a. m.;19.5
1/4/18;2:00 a. m.;19.7
1/4/18;3:00 a. m.;20.6
1/4/18;4:00 a. m.;20.6
1/4/18;5:00 a. m.;20.7
1/4/18;6:00 a. m.;20.2
1/4/18;7:00 a. m.;22
1/4/18;8:00 a. m.;24.8
1/4/18;9:00 a. m.;27
1/4/18;10:00 a. m.;29.5
1/4/18;11:00 a. m.;28.8
1/4/18;12:00 p. m.;22.7
1/4/18;1:00 p. m.;21
1/4/18;2:00 p. m.;22.9
1/4/18;3:00 p. m.;26.5
1/4/18;4:00 p. m.;21.6
1/4/18;5:00 p. m.;20.9
1/4/18;6:00 p. m.;26.6
1/4/18;7:00 p. m.;24.7
1/4/18;8:00 p. m.;25
1/4/18;9:00 p. m.;21.2
1/4/18;10:00 p. m.;22.9
1/4/18;11:00 p. m.;23.4
1/4/18;24:00 AM;21.2
1/5/18;1:00 a. m.;21.9
1/5/18;2:00 a. m.;20.2
1/5/18;3:00 a. m.;21.1
1/5/18;4:00 a. m.;20.9
1/5/18;5:00 a. m.;22.2
1/5/18;6:00 a. m.;22.8
1/5/18;7:00 a. m.;23.9
1/5/18;8:00 a. m.;25.5
1/5/18;9:00 a. m.;28.4
1/5/18;10:00 a. m.;30
1/5/18;11:00 a. m.;28.9
1/5/18;12:00 p. m.;26.9
1/5/18;1:00 p. m.;24.9
1/5/18;2:00 p. m.;29.7
1/5/18;3:00 p. m.;30.4
1/5/18;4:00 p. m.;32.5
1/5/18;5:00 p. m.;32.9
1/5/18;6:00 p. m.;34.9
1/5/18;7:00 p. m.;35.3
1/5/18;8:00 p. m.;34.9
1/5/18;9:00 p. m.;32.5
1/5/18;10:00 p. m.;30.4
1/5/18;11:00 p. m.;28.3
1/5/18;24:00 AM;16.7
1/6/18;1:00 a. m.;15.1
1/6/18;2:00 a. m.;10.8
1/6/18;3:00 a. m.;11.1
